Table,Column,Pandas Type
sellers,zip_missing,bool
sellers,zip_format_invalid,bool
sellers,zip_unmatched,bool
geolocation,geolocation_zip_code_prefix,string
geolocation,geolocation_lat,Float64
geolocation,geolocation_lng,Float64
geolocation,geolocation_city,string
geolocation,geolocation_state,string
geolocation,source_record_number,int64
geolocation,geolocation_lat_raw,string
geolocation,geolocation_lat_missing,bool
geolocation,geolocation_lat_invalid,bool
geolocation,geolocation_lng_raw,string
geolocation,geolocation_lng_missing,bool
geolocation,geolocation_lng_invalid,bool
category_translation,product_category_name,string
category_translation,product_category_name_english,string
category_translation,source_record_number,int64
category_translation,missing_key,bool
category_translation,duplicate_key,bool
